epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,8.86164,1.0771,0.66187,0.00804,0.87098,0.89949,0.93398,0.63672,0.99206,0.61458,0.00932,0.000317556,0.000317556,0.000317556
2,17.3958,1.09001,0.61798,0.00882,0.91017,0.8909,0.93879,0.60908,1.2266,0.565,0.01185,0.000767691,0.000767691,0.000767691
3,27.5578,1.127,0.6497,0.00962,0.91017,0.8909,0.93879,0.60908,1.2266,0.565,0.01185,0.00118639,0.00118639,0.00118639
4,36.9468,1.11287,0.63219,0.00814,0.89096,0.87542,0.92459,0.5941,1.09226,0.61778,0.01055,0.00128753,0.00128753,0.00128753
5,45.5007,1.14887,0.73474,0.00863,0.89096,0.87542,0.92459,0.5941,1.09226,0.61778,0.01055,0.00124037,0.00124037,0.00124037
6,54.0786,1.0904,0.6816,0.00914,0.85417,0.89635,0.91591,0.60281,1.11159,0.62893,0.01067,0.00119322,0.00119322,0.00119322
7,62.3968,1.13851,0.69433,0.01006,0.85417,0.89635,0.91591,0.60281,1.11159,0.62893,0.01067,0.00114606,0.00114606,0.00114606
8,71.1627,1.12884,0.67168,0.00999,0.85417,0.89635,0.91591,0.60281,1.11159,0.62893,0.01067,0.0010989,0.0010989,0.0010989
9,79.7689,1.13784,0.70184,0.0096,0.86582,0.89932,0.91788,0.62567,0.99474,0.63155,0.00935,0.00105174,0.00105174,0.00105174
10,88.2291,1.03307,0.67156,0.00877,0.86582,0.89932,0.91788,0.62567,0.99474,0.63155,0.00935,0.00100459,0.00100459,0.00100459
11,96.9037,1.03703,0.61686,0.00816,0.86293,0.91081,0.92733,0.6311,1.02871,0.60539,0.00968,0.00095743,0.00095743,0.00095743
12,105.301,1.02411,0.66466,0.00839,0.86293,0.91081,0.92733,0.6311,1.02871,0.60539,0.00968,0.000910273,0.000910273,0.000910273
13,114.077,1.07832,0.74242,0.00905,0.86739,0.90361,0.92329,0.63983,1.00404,0.53553,0.00937,0.000863116,0.000863116,0.000863116
14,122.979,1.04989,0.65987,0.00816,0.86739,0.90361,0.92329,0.63983,1.00404,0.53553,0.00937,0.000815959,0.000815959,0.000815959
15,131.291,1.0441,0.60717,0.00876,0.86739,0.90361,0.92329,0.63983,1.00404,0.53553,0.00937,0.000768802,0.000768802,0.000768802
16,139.805,0.99949,0.60921,0.00729,0.89504,0.89783,0.92372,0.65846,0.93794,0.49535,0.00874,0.000721645,0.000721645,0.000721645
17,148.326,1.06492,0.71275,0.00925,0.89504,0.89783,0.92372,0.65846,0.93794,0.49535,0.00874,0.000674488,0.000674488,0.000674488
18,157.208,0.95812,0.64901,0.00825,0.9167,0.87437,0.92228,0.67002,0.91175,0.51183,0.00845,0.000627331,0.000627331,0.000627331
19,165.763,1.01882,0.61176,0.00771,0.9167,0.87437,0.92228,0.67002,0.91175,0.51183,0.00845,0.000580174,0.000580174,0.000580174
20,174.399,1.02184,0.61815,0.00815,0.91006,0.8638,0.92132,0.67059,0.93595,0.53017,0.00877,0.000533017,0.000533017,0.000533017
21,182.808,1.01892,0.60353,0.009,0.91006,0.8638,0.92132,0.67059,0.93595,0.53017,0.00877,0.00048586,0.00048586,0.00048586
22,191.783,1.0197,0.70508,0.01001,0.91006,0.8638,0.92132,0.67059,0.93595,0.53017,0.00877,0.000438703,0.000438703,0.000438703
23,200.674,1.0006,0.63861,0.00935,0.88398,0.87973,0.92218,0.66998,0.96907,0.54039,0.00918,0.000391546,0.000391546,0.000391546
24,209.288,1.00815,0.61253,0.0101,0.88398,0.87973,0.92218,0.66998,0.96907,0.54039,0.00918,0.000344389,0.000344389,0.000344389
25,217.781,1.01729,0.55056,0.0083,0.86775,0.89199,0.92171,0.67074,0.99021,0.53837,0.0094,0.000297232,0.000297232,0.000297232
26,226.165,0.96,0.55093,0.00881,0.86775,0.89199,0.92171,0.67074,0.99021,0.53837,0.0094,0.000250075,0.000250075,0.000250075
27,234.899,0.98318,0.57976,0.00936,0.91115,0.86379,0.92472,0.67048,0.9829,0.51633,0.00941,0.000202918,0.000202918,0.000202918
28,243.337,1.03493,0.5964,0.00885,0.91115,0.86379,0.92472,0.67048,0.9829,0.51633,0.00941,0.000155761,0.000155761,0.000155761
29,251.649,0.99932,0.54983,0.00849,0.91115,0.86379,0.92472,0.67048,0.9829,0.51633,0.00941,0.000108604,0.000108604,0.000108604
30,259.882,1.03149,0.62096,0.00952,0.90705,0.86767,0.92522,0.67148,0.96576,0.5177,0.00921,6.1447e-05,6.1447e-05,6.1447e-05
