epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,133.722,1.18729,0.90532,0.00948,0.78459,0.86018,0.8807,0.60636,1.09275,0.75613,0.01048,0.000471372,0.000471372,0.000471372
2,267.875,1.1397,0.82844,0.00936,0.78311,0.8594,0.87029,0.58659,1.11201,0.75136,0.01066,0.000916431,0.000916431,0.000916431
3,413.457,1.17266,0.85852,0.00973,0.75143,0.87408,0.87349,0.60389,1.10181,0.85822,0.01039,0.00133005,0.00133005,0.00133005
4,549.357,1.14976,0.83672,0.00927,0.72152,0.84988,0.8483,0.56663,1.09571,0.75585,0.01036,0.00128753,0.00128753,0.00128753
5,683.42,1.16929,0.82984,0.00942,0.8325,0.84696,0.89697,0.60496,1.14544,0.70318,0.01097,0.00124037,0.00124037,0.00124037
6,813.723,1.15953,0.8236,0.00957,0.82293,0.85126,0.86778,0.58905,1.08033,0.76062,0.01038,0.00119322,0.00119322,0.00119322
7,946.371,1.15794,0.81054,0.00966,0.83077,0.88022,0.88879,0.58179,1.19028,0.71085,0.01148,0.00114606,0.00114606,0.00114606
8,1081.47,1.16095,0.80009,0.0096,0.82337,0.86037,0.89266,0.61058,1.08231,0.70363,0.0103,0.0010989,0.0010989,0.0010989
9,1215.54,1.15264,0.78239,0.00946,0.78565,0.86891,0.88334,0.59679,1.09369,0.70382,0.01035,0.00105174,0.00105174,0.00105174
10,1345.52,1.13875,0.77738,0.0093,0.76749,0.87338,0.87592,0.60011,1.10602,0.70971,0.01058,0.00100459,0.00100459,0.00100459
11,1475.37,1.1173,0.76729,0.00918,0.81184,0.86335,0.89185,0.57555,1.17109,0.76705,0.01136,0.00095743,0.00095743,0.00095743
12,1605.41,1.12349,0.75892,0.00889,0.80336,0.85458,0.87754,0.59944,1.10232,0.70788,0.01044,0.000910273,0.000910273,0.000910273
13,1735.38,1.10581,0.75804,0.00925,0.78723,0.85201,0.86833,0.59604,1.09209,0.69096,0.01036,0.000863116,0.000863116,0.000863116
14,1866.22,1.10843,0.75057,0.00931,0.80414,0.89632,0.87841,0.60365,1.09115,0.68551,0.01028,0.000815959,0.000815959,0.000815959
15,1997.44,1.08995,0.73284,0.00872,0.82363,0.87497,0.88436,0.61696,1.09119,0.66276,0.01042,0.000768802,0.000768802,0.000768802
16,2128.03,1.11523,0.74109,0.00907,0.78162,0.88891,0.87573,0.59866,1.09802,0.68619,0.01038,0.000721645,0.000721645,0.000721645
17,2258.53,1.09683,0.73019,0.00889,0.80577,0.87479,0.88717,0.6133,1.08093,0.7245,0.01026,0.000674488,0.000674488,0.000674488
18,2387.85,1.0999,0.71094,0.00903,0.81848,0.89911,0.89909,0.62749,1.08491,0.72004,0.01029,0.000627331,0.000627331,0.000627331
19,2517.2,1.09754,0.73456,0.00892,0.82639,0.87452,0.89499,0.60675,1.14658,0.72485,0.01113,0.000580174,0.000580174,0.000580174
20,2646.4,1.07463,0.69842,0.00877,0.86335,0.81107,0.89565,0.61283,1.07912,0.68071,0.0102,0.000533017,0.000533017,0.000533017
21,2773.13,1.06277,0.63793,0.01022,0.83945,0.84687,0.90345,0.62352,1.08804,0.68403,0.01033,0.00048586,0.00048586,0.00048586
22,2900.01,1.04339,0.61631,0.00998,0.79896,0.88914,0.89437,0.61047,1.10019,0.75229,0.01047,0.000438703,0.000438703,0.000438703
23,3026.23,1.03773,0.59531,0.00982,0.85062,0.82996,0.9072,0.60894,1.11028,0.70052,0.01054,0.000391546,0.000391546,0.000391546
24,3151.91,1.01517,0.57983,0.00932,0.8712,0.83235,0.9033,0.61936,1.0773,0.6793,0.01017,0.000344389,0.000344389,0.000344389
25,3278.21,1.02784,0.58515,0.00981,0.82418,0.8756,0.90838,0.62251,1.10302,0.68902,0.01046,0.000297232,0.000297232,0.000297232
26,3404.45,1.0098,0.57513,0.00952,0.84287,0.86221,0.89705,0.62303,1.06681,0.70054,0.01007,0.000250075,0.000250075,0.000250075
27,3530.6,1.00011,0.56816,0.00948,0.83184,0.87673,0.89551,0.61901,1.09189,0.68727,0.01038,0.000202918,0.000202918,0.000202918
28,3659.66,0.99755,0.56921,0.00939,0.82791,0.87658,0.89093,0.61969,1.0795,0.69101,0.01024,0.000155761,0.000155761,0.000155761
