epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,435.5,1.28625,3.24476,0.01089,0.0348,0.64917,0.36586,0.25389,1.03054,3.05539,0.00978,0.00046641,0.00046641,0.00046641
2,868.478,1.24784,1.94928,0.0102,0.82307,0.44879,0.69217,0.44353,1.20337,2.39703,0.01188,0.000924077,0.000924077,0.000924077
3,1301.15,1.23216,1.67013,0.01025,0.62654,0.71549,0.72187,0.46204,1.19308,1.66975,0.01157,0.00136288,0.00136288,0.00136288
4,1724.41,1.23903,1.48484,0.01009,0.65248,0.76011,0.77071,0.485,1.18671,1.47284,0.01154,0.00134412,0.00134412,0.00134412
5,2143.23,1.23598,1.34038,0.01012,0.6569,0.82,0.77029,0.51442,1.16581,1.39229,0.0113,0.00131582,0.00131582,0.00131582
6,2563.15,1.20468,1.2591,0.00997,0.68011,0.7688,0.78139,0.53568,1.10382,1.19496,0.01059,0.00128753,0.00128753,0.00128753
7,2988.54,1.21271,1.16836,0.00964,0.67186,0.8359,0.78585,0.52456,1.216,1.15911,0.01191,0.00125923,0.00125923,0.00125923
8,3411.59,1.19789,1.13975,0.00968,0.73204,0.79342,0.82906,0.54646,1.12695,1.13158,0.01067,0.00123094,0.00123094,0.00123094
9,3837.37,1.19471,1.08626,0.0097,0.74884,0.84336,0.83177,0.55561,1.19352,0.99028,0.01149,0.00120265,0.00120265,0.00120265
10,4261.9,1.2175,1.07082,0.01007,0.74587,0.80326,0.81538,0.52405,1.22347,1.12897,0.01168,0.00117435,0.00117435,0.00117435
